 market ,country_code,region,funding_rounds,founded_month,founded_quarter,founded_year,seed,venture,round_A,round_B, funding_total_usd 
 Social Media ,CHN,Beijing,2,1999-01,1999-Q1,1999,0,1573976,1573976,0," 15,73,976 "
 Bitcoin ,USA,SF Bay Area,1,2014-01,2014-Q1,2014,25000,0,0,0,"25,000"
 Mobile ,CHN,CHN - Other,1,2013-01,2013-Q1,2013,0,0,0,0," 16,29,549 "
 Mobile ,USA,Boston,1,2010-01,2010-Q1,2010,0,0,0,0," 16,00,000 "
 Health and Wellness ,,,2,,,,0,3750000,0,0," 37,50,000 "
 Online Travel ,CHE,Geneva,2,2011-08,2011-Q3,2011,375000,0,0,0," 17,19,583 "
 Web Development ,BRA,Curitiba,1,2013-01,2013-Q1,2013,75000,0,0,0,"75,000"
 Biotechnology ,ITA,Bolzano,1,2008-01,2008-Q1,2008,0,0,0,0," 1,33,620 "
 Electronic Health Records ,USA,Boston,2,2010-06,2010-Q2,2010,250000,0,0,0," 5,00,000 "
 Customer Service ,USA,"Washington, D.C.",2,2005-01,2005-Q1,2005,0,4200000,0,4200000," 57,40,000 "
 Biotechnology ,USA,Detroit,1,2010-01,2010-Q1,2010,1465000,0,0,0," 14,65,000 "
 Enterprise Software ,USA,SF Bay Area,1,2013-03,2013-Q1,2013,28000,0,0,0,"28,000"
,USA,Boston,1,2013-01,2013-Q1,2013,0,0,0,0," 2,50,000 "
,USA,Orlando,2,,,,0,380000,0,0," 3,80,000 "
,,,1,,,,0,0,0,0, -   
 Games ,USA,Orlando,2,2011-01,2011-Q1,2011,0,503000,0,0," 5,03,000 "
 3D Printing ,NLD,Amsterdam,2,2013-04,2013-Q2,2013,0,4500000,4500000,0," 45,00,000 "
 3D ,USA,Cincinnati,2,2011-01,2011-Q1,2011,350000,0,0,0," 12,00,000 "
,,,1,2014-06,2014-Q2,2014,7500,0,0,0,"7,500"
 3D Technology ,,,2,2013-01,2013-Q1,2013,0,0,0,0," 2,40,000 "
 Drones ,USA,San Diego,3,2009-01,2009-Q1,2009,0,35000000,5000000,30000000," 3,50,00,000 "
 Software ,USA,Minneapolis,3,2010-01,2010-Q1,2010,0,909940,0,0," 9,09,940 "
 Software ,USA,SC - Other,3,1986-01,1986-Q1,1986,0,19500000,0,0," 16,95,00,000 "
 Hardware + Software ,USA,Detroit,1,2009-01,2009-Q1,2009,0,150000,0,0," 1,50,000 "
,USA,WA - Other,1,2012-01,2012-Q1,2012,0,0,0,0," 7,50,000 "
 E-Commerce ,USA,SF Bay Area,1,2009-02,2009-Q1,2009,0,400000,0,0," 4,00,000 "
 E-Commerce ,USA,Ft. Lauderdale,1,1997-05,1997-Q2,1997,0,0,0,0," 12,50,000 "
 Physicians ,USA,Hartford,1,2012-01,2012-Q1,2012,0,0,0,0, -   
,,,1,,,,50000,0,0,0,"50,000"
